1002	파스타	20000	2	2024-11-24 01:07:31	식당
1002	피자	27000	3	2024-11-24 01:07:45	식당
204	까르보나라 파스타	24000	3	2024-11-24 01:09:08	룸서비스
311	모둠초밥	19900	2	2024-11-24 01:11:22	룸서비스
311	치킨	29000	3	2024-11-24 01:13:49	룸서비스
311	까르보나라 파스타	24000	3	2024-11-24 01:20:21	룸서비스
311	멘보샤	13000	3	2024-11-24 01:27:12	식당
311	리조또	18000	3	2024-11-24 01:40:02	식당
311	모둠초밥	19900	4	2024-11-24 01:40:15	룸서비스
403	라면	3000	4	2024-11-24 05:06:11	식당
402	피자	27000	3	2024-11-24 14:08:12	식당
205	라면	3000	3	2024-11-24 19:10:16	식당
205	피자	27000	3	2024-11-24 19:24:11	식당
204	치킨 카레 덮밥	13000	3	2024-11-24 19:33:59	룸서비스
203	멘보샤	13000	2	2024-11-24 19:37:50	식당
