403	치킨 카레 덮밥	39000	3	2024-11-24 05:25:59	룸서비스	객실청구
403	모둠해물짬뽕	210000	5	2024-11-24 05:26:36	룸서비스	객실청구
403	파스타	60000	3	2024-11-24 05:27:20	식당	현금
403	리조또	54000	3	2024-11-24 05:27:20	식당	현금
402	스테이크	210000	3	2024-11-24 14:08:30	식당	현금
402	멘보샤	39000	3	2024-11-24 14:08:30	식당	현금
402	까르보나라 파스타	120000	5	2024-11-24 14:12:15	룸서비스	카드
402	까르보나라 파스타	120000	5	2024-11-24 14:12:29	룸서비스	객실청구
402	모둠해물짬뽕	126000	3	2024-11-24 14:25:39	룸서비스	객실청구
402	과일 치즈 플레터	195000	3	2024-11-24 14:25:51	룸서비스	현금
402	멘보샤	39000	3	2024-11-24 14:28:04	식당	객실청구
402	멘보샤	26000	2	2024-11-24 14:28:17	식당	카드
402	멘보샤	39000	3	2024-11-24 14:28:26	식당	카드
205	치킨	87000	3	2024-11-24 19:10:29	룸서비스	객실청구
205	모둠초밥	59700	3	2024-11-24 19:10:29	룸서비스	객실청구
1002	피자	108000	4	2024-11-24 19:24:20	식당	객실청구
205	과일 치즈 플레터	130000	2	2024-11-24 19:24:31	룸서비스	객실청구
204	파스타	40000	2	2024-11-24 19:33:52	식당	카드
204	까르보나라 파스타	72000	3	2024-11-24 19:34:12	룸서비스	객실청구
203	리조또	18000	1	2024-11-24 19:38:02	식당	객실청구
203	멘보샤	26000	2	2024-11-24 19:38:02	식당	객실청구
202	까르보나라 파스타	240000	10	2024-11-24 21:40:37	룸서비스	객실청구
901	물	7500	3	2024-11-25 02:10:02	식당	객실청구
901	리조또	54000	3	2024-11-25 02:10:02	식당	객실청구
901	김치찜	30000	1	2024-11-25 02:10:13	식당	객실청구
801	스테이크	140000	2	2024-11-25 03:12:23	식당	객실청구
906	리조또	18000	1	2024-11-25 03:12:42	식당	객실청구
906	피자	27000	1	2024-11-25 03:12:42	식당	객실청구
401	치킨	29000	1	2024-11-25 03:13:05	식당	카드
805	치킨	29000	1	2024-11-25 03:13:15	식당	카드
907	치킨	29000	1	2024-11-25 03:13:23	식당	카드
907	리조또	18000	1	2024-11-25 03:13:23	식당	카드
907	스테이크	70000	1	2024-11-25 03:13:23	식당	카드
906	햄버거	9900	1	2024-11-25 03:13:33	룸서비스	카드
